Site,Infected,Uninfected,Total
South Haulover Bay,1,14,15
Great Lamshure Bay (VIERS),2,8,10
Frank Bay,0,12,12
Maho Bay,0,11,11
Leinster Bay,1,13,14
Hawknest Bay,0,11,11
Chocolate Hole,1,11,12
Brewer's Bay East,5,9,14
Brewer's Bay West,3,10,13
Brewer's Bay Black Point,8,11,19
Hull Bay East,0,5,5
Hull Bay West,0,10,10
Preserverance Bay,2,11,13
Fortuna Bay,2,8,10
"Green Cay, Abi's Beach Bar",2,8,10
Mandahl Bay,0,10,10
Stumpy Bay,2,8,10
Lindbergh Bay East,0,10,10
Lindbergh Bay West,1,9,10
Flat Key,2,8,10
Honeymoon Bay South,0,15,15
Honeymoon Bay North,0,12,12
Carolina Point,1,11,12
Elephant Bay (near Ferry Dock),0,15,15
Fredricksted Bay,8,5,13
Chenay Bay East,6,8,14
Pull Point @ Chenay Bay,5,10,15
Frederiksted Pier,13,2,15
Rock Bay,7,6,13
North Hassel,2,11,13
